Fecha     , Hora    ,                  PHP file,  file _L7m2Z7pl,  file _Y7ypS4i8
---------------------------------------------------------------------------------
2020.10.01, 00:47:07,      google+url-corta.php,              64,              64
2020.10.01, 01:32:10,                sudoku.php,              64,              64
2020.10.01, 03:45:17,    politicaprivacidad.php,              64,              64
2020.10.01, 03:56:09,           cuadrominos.php,              64,              64
2020.10.01, 04:08:20,        revista-enigma.php,              64,              64
2020.10.01, 04:37:29,               ingenio.php,              64,              64
2020.10.01, 05:29:36,         publicaciones.php,              64,              64
2020.10.01, 05:30:10,   ver-croquis-tecnico.php,              64,              64
2020.10.01, 05:30:43,   ver-croquis-tecnico.php,              64,              64
2020.10.01, 07:45:23,             consultas.html,              64,              64
2020.10.01, 08:00:41,            sumaoculta.html,              64,              64
2020.10.01, 08:20:43,            sumaoculta.html,              64,              64
2020.10.01, 08:53:36, ps-autocad-visualizar.php,              64,              64
2020.10.01, 09:24:29,                sudoku.php,              64,              64
2020.10.01, 09:24:34,             consultas.html,              64,              64
2020.10.01, 09:24:39,             novedades.php,              64,              64
2020.10.01, 09:24:55,         publicaciones.php,              64,              64
2020.10.01, 09:25:00,                 rubik.php,              64,              64
2020.10.01, 09:25:05,           calendarios.php,              64,              64
2020.10.01, 09:25:10,               ingenio.php,              64,              64
2020.10.01, 10:34:01,                sudoku.php,              64,              64
2020.10.01, 10:40:15,        temas-rep-graf.php,              64,              64
2020.10.01, 10:54:34,            alias-acad.php,              64,              64
2020.10.01, 11:05:35, ver-publicac-rep-graf.php,              64,              64
2020.10.01, 11:25:32, ver-publicac-rep-graf.php,              64,              64
2020.10.01, 11:29:24,           calendarios.php,              64,              64
2020.10.01, 11:29:24,           calendarios.php,              64,              64
2020.10.01, 11:42:44, ver-anexos-croquizado.php,              64,              64
2020.10.01, 12:05:13, ver-publicac-rep-graf.php,              64,              64
2020.10.01, 13:44:56, ps-autocad-visualizar.php,              64,              64
2020.10.01, 14:02:01,             consultas.html,              64,              64
2020.10.01, 14:06:38,    ver-caleidociclo-6.php,              64,              64
2020.10.01, 14:50:37,          aplicaciones.php,              64,              64
2020.10.01, 15:54:06,          rompecabezas.php,              64,              64
2020.10.01, 15:56:55,                sumado.php,              64,              64
2020.10.01, 16:00:38, ver-anexos-croquizado.php,              64,              64
2020.10.01, 16:08:02,                sumado.php,              64,              64
2020.10.01, 16:27:31,        temas-rep-graf.php,              64,              64
2020.10.01, 17:03:51, a-descriptiva-londres.php,              64,              64
2020.10.01, 18:02:03,   curriculum-resumido.php,              64,              64
2020.10.01, 18:02:59,         publicaciones.php,              64,              64
2020.10.01, 18:03:33,   ver-croquis-tecnico.php,              64,              64
2020.10.01, 18:04:09,         publicaciones.php,              64,              64
2020.10.01, 18:04:16,   ver-croquis-tecnico.php,              64,              64
2020.10.01, 18:24:03,   curriculum-resumido.php,              64,              64
2020.10.01, 18:37:16,            alias-acad.php,              64,              64
2020.10.01, 18:46:52,            sumaoculta.html,              64,              64
2020.10.01, 19:55:17,        revista-enigma.php,              64,              64
2020.10.01, 21:34:08, atematica-estas-ahi-1.php,              64,              64
2020.10.01, 21:46:15, a-descriptiva-londres.php,              64,              64
2020.10.01, 21:46:58,             novedades.php,              64,              64
2020.10.01, 21:52:20, ver-anexos-croquizado.php,              64,              64
2020.10.01, 22:33:04,          rompecabezas.php,              64,              64
2020.10.01, 23:14:02,    ver-caleidociclo-6.php,              64,              64
2020.10.02, 00:00:25,          aplicaciones.php,              64,              64
2020.10.02, 00:12:23,     repgrafsincorbata.php,              64,              64
2020.10.02, 01:18:43, ver-publicac-rep-graf.php,              64,              64
2020.10.02, 02:04:23,               ingenio.php,              64,              64
2020.10.02, 03:25:47,         ver-iq-test-2.php,              64,              64
2020.10.02, 03:54:30,        lareglasecreta.php,              64,              64
2020.10.02, 04:35:12,   ver-croquis-tecnico.php,              64,              64
2020.10.02, 04:42:38,                 rubik.php,              64,              64
2020.10.02, 04:48:24,           ver-iq-test.php,              64,              64
2020.10.02, 05:43:33,               ingenio.php,              64,              64
2020.10.02, 06:53:18,   curriculum-resumido.php,              64,              64
2020.10.02, 06:59:24,            alias-acad.php,              64,              64
2020.10.02, 07:08:39,                sudoku.php,              64,              64
2020.10.02, 07:16:09,    politicaprivacidad.php,              64,              64
2020.10.02, 07:28:24,        temas-rep-graf.php,              64,              64
2020.10.02, 08:02:45,    metodo-intelectual.php,              64,              64
2020.10.02, 08:21:08,     repgrafsincorbata.php,              64,              64
2020.10.02, 08:24:59,             consultas.html,              64,              64
2020.10.02, 08:25:17,         publicaciones.php,              64,              64
2020.10.02, 08:50:28,         ver-iq-test-3.php,              64,              64
2020.10.02, 10:02:34,   ver-croquis-tecnico.php,              64,              64
2020.10.02, 10:10:28,             novedades.php,              64,              64
2020.10.02, 10:10:28,        temas-rep-graf.php,              64,              64
2020.10.02, 10:10:29,         publicaciones.php,              64,              64
2020.10.02, 10:10:29,          aplicaciones.php,              64,              64
2020.10.02, 10:10:30,             consultas.html,              64,              64
2020.10.02, 10:10:30,   curriculum-resumido.php,              64,              64
2020.10.02, 10:34:45, escriptiva-watts-rule.php,              64,              64
2020.10.02, 10:56:29,            alias-acad.php,              64,              64
2020.10.02, 11:23:39, ver-publicac-rep-graf.php,              64,              64
2020.10.02, 11:26:56,           calendarios.php,              64,              64
2020.10.02, 12:31:41,      google+url-corta.php,              64,              64
2020.10.02, 12:44:15, escriptiva-watts-rule.php,              64,              64
2020.10.02, 13:07:12,          rompecabezas.php,              64,              64
2020.10.02, 13:11:38,            pentomania.php,              64,              64
2020.10.02, 13:27:02, roblemas_ingenio_2020.php,              64,              64
2020.10.02, 13:38:04, roblemas_ingenio_2020.php,              64,              64
2020.10.02, 13:54:54,         ver-iq-test-2.php,              64,              64
2020.10.02, 14:01:46,                sudoku.php,              64,              64
2020.10.02, 14:06:00,          rompecabezas.php,              64,              64
2020.10.02, 14:12:02,        lareglasecreta.php,              64,              64
2020.10.02, 15:53:23,          rompecabezas.php,              64,              64
2020.10.02, 16:00:25,      google+url-corta.php,              64,              64
2020.10.02, 16:34:51,            sumaoculta.html,              64,              64
2020.10.02, 16:53:09,             consultas.html,              64,              64
2020.10.02, 17:19:33,        lareglasecreta.php,              64,              64
2020.10.02, 17:37:03,  problemas-anteriores.php,              64,              64
2020.10.02, 17:39:11,                 rubik.php,              64,              64
2020.10.02, 17:41:12,      google+url-corta.php,              64,              64
2020.10.02, 18:09:14, ver-anexos-croquizado.php,              64,              64
2020.10.02, 18:14:33,           Cuadrominos.php,              64,              64
2020.10.02, 19:09:50,  problemas-anteriores.php,              64,              64
2020.10.02, 19:23:32,             consultas.html,              64,              64
2020.10.02, 19:30:20, escriptiva-watts-rule.php,              64,              64
2020.10.02, 19:41:29,                sudoku.php,              64,              64
2020.10.02, 19:52:50,           cuadrominos.php,              64,              64
2020.10.02, 20:40:39,   curriculum-resumido.php,              64,              64
2020.10.02, 20:52:02,               ingenio.php,              64,              64
2020.10.02, 20:52:03,          rompecabezas.php,              64,              64
